course_id,encoded_id
0e49b452-3443-4ce9-a35d-53c845e4f60f,0
106b358b-973e-42b1-9154-94214dc7f604,1
26992488-3e60-4fa9-aa4b-6d5a4354e20b,2
28584099-5402-4c97-9df7-c41196cebdbe,3
2ff0eb16-b673-41dc-8f43-332b866d7b90,4
3a339568-c338-429e-8aef-293a3ea7f5bb,5
3c47df7c-1842-40b3-8899-68e3d95f41c8,6
3edbd79b-fa31-4627-a9e7-a788489c521a,7
4f3eb0d3-dd92-4afe-9c6c-cd1634770a52,8
5233bd5a-1fb4-4022-9ef4-9885ad9b99f4,9
6047372f-c9af-4531-8a73-8bdb89bfb063,10
695d5577-cbaa-4e8d-ad22-b8f8de421192,11
71377f20-bed9-410b-9fa7-142e3179e9fe,12
7b96c6be-198f-40ea-a457-11b71fc95c61,13
8e577a9b-05fd-42e0-b632-df1326c8f571,14
90496e5e-acdd-418b-ad38-ad214e7a347e,15
959f0001-a7c8-49f4-8bf7-173b2cb863b4,16
9e83f157-d468-419d-ad33-136689153d82,17
a795581f-3613-443f-a730-ce6ac79674ae,18
a83b5073-16b7-4acd-b748-514eb1a25314,19
a8d520b2-584e-40f8-81b0-e8e538ff1f0c,20
ab51c6e7-897f-40b2-8d96-9acc9628a6d7,21
afa0180e-27c9-40c2-90b9-2c36049628da,22
ba1779fd-d7f4-488b-8416-d5552dccc631,23
c388b418-ba14-4b9e-ae1f-b6ec6159ab06,24
dd5f09e3-33aa-46a2-aa3b-3644cf18b167,25
e320cc11-248f-4fa2-9896-aaab2b4bc1ab,26
ed4cf2ae-f6e7-4e7a-9ab0-a45238edf50a,27
f31ae959-58d2-437c-bf6e-3b76e3d1e479,28
f9623129-3998-4702-9949-2c9984428449,29
